sku,stock.qty,pick_face_count  
135836, 10,1
135844, 13,2
135867, 9,1
135869, 1,1
135891, 24,1
135959, 0,2
135960, 90,2
136025, -2,2
136032, 48,2
136041, -6,1
136049, 13,1
136052, 70,1
136225, 48,1
136408, 2,
136525, 80,1
136529, 248,1
136602, 0,1
136632, 216,1
136671, 192,2
136779, 530,1
136858, 394,1
136859, 30,
136862, 25,
136864, 21,1
136865, 11,1
136866, 70,1
136868, 4,1
136869, 19,
136874, 2,1
136875, 9,1
136901, 25,
136908, 1,1
136913, 12,1
136915, 7,1
137073, 10,1
137083, 42,1
137098, 271,2
137099, 102,
137175, 132,1
137205, 12,
137231, 6,
137359, 20,1
137424, 6,2
137426, 23,1
137432, 218,2
137434, 398,1
137504, 3,1
137524, 1,
137526, 33,
137527, 1,1
137529, 32,1
137544, 148,1
137558, 3,1
137607, 94,1
137610, 12,
137612, 1410,
137614, 11,1
137642, 21,1
137691, 7,1
137692, 79,1
137693, 36,1
137696, 65,1
137774, 4,1
137775, 15,1
137779, 10,1
137851, 77,1
137959, 9,1
137964, 50,1
137970, 5,2
137995, 259,
138077, 57,1
138092, 169,1
138109, 41,1
138135, 19,1
138257, 51,1
138264, 10,1
138267, 42,2
138269, 256,2
138270, 0,2
138275, 41,1
138292, 799,2
138392, 10,1
138393, 4,1
138395, 6,1
138446, 2,1
138840, 2749,2
138849, 1390,2
139122, 294,2
139268, 250,1
139269, 103,1
139271, 39,1
139478, 746,2
139495, 0,1
139507, 6,1
139554, 48,1
139573, 156,1
139654, 1191,1
139662, 180,
139747, 177,1
139749, 198,1
139977, 108,2
140237, 41,1
140336, 169,1
140340, 38,1
140341, 270,1
140385, 17,1
140393, 16,1
140425, 1596,2
140505, 41,
140518, 104,1
140557, 10,1
140568, 120,1
140569, 810,2
140570, 204,2
140571, 6090,1
140578, 1583,1
140579, 1096,2
140582, 2874,2
140596, 32,1
140598, 17,2
140644, 97,2
140649, 99,1
140650, 44,2
140655, 42,1
140670, 312,1
140672, 3,1
140673, 156,1
140674, 320,1
140677, 143,1
140756, 96,1
140784, 10,1
140787, 0,1
140954, 1092,1
141130, 449,2
141132, 229,2
141142, 681,1
141143, 400,2
141144, 575,2
141150, 40,1
141167, 158,2
141182, 348,1
141186, 3262,1
141189, 650,1
141191, 0,1
141231, 7,1
141232, 4,1
141329, 136,2
141337, 65,1
141340, 241,1
141341, 10,1
141353, -50,2
141357, 49,1
141366, 152,1
141424, 8,
141440, 248,1
141537, 102,1
141581, 45,1
141615, 19,1
141624, 6,
141634, 8,1
141637, 77,1
141650, 74,1
141657, 18,1
141661, 51,1
141663, 9,
141673, 46,1
141674, 144,1
141757, 22,2
141762, 3,1
141764, 32,1
141985, 1,
141992, 25,1
141997, 8,1
142068, 64,1
142069, 280,1
142074, 14,1
142118, 1,2
142221, 42,1
142244, 36,1
142261, 50,1
142527, 225,2
142564, 6,
142820, 19,
142834, 6,1
142845, 12,1
142879, 326,1
142883, 0,
142884, 6,
142974, 335,2
142977, 1,
143126, 4136,2
143129, 2449,2
143130, 988,1
143131, 906,2
143163, 138,1
143165, 240,2
143168, 165,1
143349, 71,1
143379, 486,2
143392, 18,
143397, 16,
143405, 9,1
143422, 17,1
143430, 1,1
143439, 21,1
143444, 6,1
143546, 0,2
143547, 66,2
143556, 96,1
143557, 397,2
143603, 51,1
143723, 12,1
143726, 12,
143739, 14,
143828, 40,1
143854, 321,1
143945, 112,
143946, 8,1
143948, 0,1
144035, 155,1
144088, 3,2
144090, 170,2
144198, 24,1
144272, 1,1
144279, 61,1
144309, 138,2
144322, 12,1
144323, 4,1
144324, 12,1
144395, 1,
144407, 3034,2
144444, 485,1
144458, 21,1
144459, 61,1
144460, 54,1
144562, 9,1
144648, 0,1
144666, 255,2
144920, 1,
144921, 92,1
144922, 8,1
144923, 12,1
144924, 9,1
144925, 152,2
144926, 112,1
144927, 12,1
144929, 142,1
144931, 124,1
144932, 232,1
144933, 104,1
144934, 28,1
144935, 80,1
144936, 610,1
144937, 361,1
144938, 24,1
144939, 92,1
144940, 132,1
144941, 328,1
144942, 108,1
144943, 44,1
145186, 690,1
145343, 6,1
145357, 185,1
145360, 353,2
145373, 254,2
145386, 10,
145409, 263,1
145426, 33,2
145456, 8,1
145500, 89,1
145513, 0,1
145531, 20,1
145539, 34,1
145564, 672,1
145571, 28,1
145572, 10,1
145573, 393,1
145611, 22,2
145625, 35,1
145626, 30,
145627, 45,
145632, 0,1
145633, 2874,2
145643, 1890,2
145722, 5,2
145731, 2174,1
145795, 184,2
145813, 67,1
145822, 49,1
145860, 36,1
146046, 240,1
146047, 528,1
