2014-07-16, 03:12:04, AAA1786, 127.0.0.1, PAYMENT METHOD cannot be empty <br />, takeaway.php, 50, 
2014-07-16, 03:12:41, AAA1786, 127.0.0.1, PAYMENT METHOD cannot be empty <br />, takeaway.php, 50, 
2014-07-16, 03:19:53, AAA1786, 127.0.0.1, Your cart is empty!! Please add some food in your cart.<br />, takeaway.php, 50, 
2014-07-16, 03:20:19, AAA1786, 127.0.0.1, Your cart is empty!! Please add some food in your cart.<br />, takeaway.php, 50, 
2014-07-16, 03:21:27, AAA1786, 127.0.0.1, HOUSE NO Cannot be empty <br />POSTCODE Cannot be empty <br />ADDRESS LINE 1 Cannot be empty <br />TOWN Cannot be empty <br />, takeaway.php, 50, 
2014-07-16, 03:24:45, AAA1786, 127.0.0.1, Your cart is empty!! Please add some food in your cart.<br />, takeaway.php, 50, 
2014-07-17, 10:58:59, AAA1786, 127.0.0.1, FIRST NAME Cannot be empty <br />LAST NAME Cannot be empty <br />PHONE Cannot be empty <br />, takeaway.php, 50, 
2014-07-17, 11:00:01, AAA1786, 127.0.0.1, FIRST NAME Cannot be empty <br />LAST NAME Cannot be empty <br />PHONE Cannot be empty <br />, takeaway.php, 50, 
2014-07-17, 19:25:07, AAA1786, 127.0.0.1, Your cart is empty!! Please add some food in your cart.<br />, takeaway.php, 50, 
2014-07-17, 19:25:26, AAA1786, 127.0.0.1,  Requested Time :: <b>Thu 17 Jul 2014 17:07:00</b> Can not be earlier then :: Thu 17 Jul 2014 19:07:26, takeaway.php, 50, 
2014-07-17, 22:24:44, AAA1786, 127.0.0.1,  Requested Time :: <b>Thu 17 Jul 2014 17:07:00</b> Can not be earlier then :: Thu 17 Jul 2014 22:07:43, takeaway.php, 50, 
2014-07-17, 22:25:01, AAA1786, 127.0.0.1, Email can not be empty <br />, takeaway.php, 50, 
2014-07-17, 22:25:11, AAA1786, 127.0.0.1, Email can not be empty <br />, takeaway.php, 50, 
2014-07-18, 01:40:59, AAA1786, 127.0.0.1, Your cart is empty!! Please add some food in your cart.<br />, takeaway.php, 50, 
2014-07-19, 14:08:06, AAA1786, 127.0.0.1, Invalid Access to site, please try again, takeaway.php, 50, 
2014-07-19, 14:08:13, AAA1786, 127.0.0.1, Invalid Access to site, please try again, takeaway.php, 50, 
