
2014-07-26, 18:34:17, AAA1786, 127.0.0.1, order_placed, takeaway.php, 53, 
2014-07-26, 18:35:42, AAA1786, 127.0.0.1, menu, takeaway.php, 53, 
2014-07-26, 18:35:44, AAA1786, 127.0.0.1, add_in_bag, takeaway.php, 53, 
2014-07-26, 18:35:45, AAA1786, 127.0.0.1, menu, takeaway.php, 53, 
2014-07-26, 18:35:48, AAA1786, 127.0.0.1, order_details, takeaway.php, 53, 
2014-07-26, 18:35:52, AAA1786, 127.0.0.1, day_js, takeaway.php, 53, 
2014-07-26, 18:35:52, AAA1786, 127.0.0.1, user_details, takeaway.php, 53, 
2014-07-26, 18:35:56, AAA1786, 127.0.0.1, confirm, takeaway.php, 53, 
2014-07-26, 18:36:47, AAA1786, 127.0.0.1, menu, takeaway.php, 53, 
2014-07-26, 18:37:02, AAA1786, 127.0.0.1, menu, takeaway.php, 53, 
2014-07-26, 18:37:04, AAA1786, 127.0.0.1, add_in_bag, takeaway.php, 53, 
2014-07-26, 18:37:05, AAA1786, 127.0.0.1, menu, takeaway.php, 53, 
2014-07-26, 18:37:24, AAA1786, 127.0.0.1, order_details, takeaway.php, 53, 
2014-07-26, 18:37:28, AAA1786, 127.0.0.1, day_js, takeaway.php, 53, 
2014-07-26, 18:37:28, AAA1786, 127.0.0.1, user_details, takeaway.php, 53, 
2014-07-26, 18:37:31, AAA1786, 127.0.0.1, confirm, takeaway.php, 53, 
2014-07-26, 18:38:32, AAA1786, 127.0.0.1, process_order, takeaway.php, 53, 
2014-07-26, 18:38:34, AAA1786, 127.0.0.1, order_placed, takeaway.php, 53, 
2014-07-26, 18:38:39, AAA1786, 127.0.0.1, menu, takeaway.php, 53, 
2014-07-26, 18:38:45, AAA1786, 127.0.0.1, add_in_bag, takeaway.php, 53, 
2014-07-26, 18:38:46, AAA1786, 127.0.0.1, menu, takeaway.php, 53, 
2014-07-26, 18:38:48, AAA1786, 127.0.0.1, order_details, takeaway.php, 53, 
2014-07-26, 18:38:51, AAA1786, 127.0.0.1, day_js, takeaway.php, 53, 
2014-07-26, 18:38:52, AAA1786, 127.0.0.1, user_details, takeaway.php, 53, 
2014-07-26, 18:38:55, AAA1786, 127.0.0.1, confirm, takeaway.php, 53, 
2014-07-26, 18:39:31, AAA1786, 127.0.0.1, process_order, takeaway.php, 53, 
2014-07-26, 18:39:33, AAA1786, 127.0.0.1, order_placed, takeaway.php, 53, 
2014-07-26, 18:46:26, AAA1786, 127.0.0.1, menu, takeaway.php, 53, 
2014-07-26, 18:46:28, AAA1786, 127.0.0.1, add_in_bag, takeaway.php, 53, 
2014-07-26, 18:46:28, AAA1786, 127.0.0.1, menu, takeaway.php, 53, 
2014-07-26, 18:46:30, AAA1786, 127.0.0.1, order_details, takeaway.php, 53, 
2014-07-26, 18:46:33, AAA1786, 127.0.0.1, day_js, takeaway.php, 53, 
2014-07-26, 18:46:34, AAA1786, 127.0.0.1, user_details, takeaway.php, 53, 
2014-07-26, 18:46:37, AAA1786, 127.0.0.1, confirm, takeaway.php, 53, 
2014-07-26, 18:47:12, AAA1786, 127.0.0.1, process_order, takeaway.php, 53, 
2014-07-26, 18:47:14, AAA1786, 127.0.0.1, order_placed, takeaway.php, 53, 
2014-07-26, 18:48:55, AAA1786, 127.0.0.1, menu, takeaway.php, 53, 
2014-07-26, 18:50:18, AAA1786, 127.0.0.1, menu, takeaway.php, 53, 
2014-07-26, 18:50:20, AAA1786, 127.0.0.1, add_in_bag, takeaway.php, 53, 
2014-07-26, 18:50:20, AAA1786, 127.0.0.1, menu, takeaway.php, 53, 
2014-07-26, 18:50:22, AAA1786, 127.0.0.1, order_details, takeaway.php, 53, 
2014-07-26, 18:50:26, AAA1786, 127.0.0.1, day_js, takeaway.php, 53, 
2014-07-26, 18:50:27, AAA1786, 127.0.0.1, user_details, takeaway.php, 53, 
2014-07-26, 18:50:33, AAA1786, 127.0.0.1, confirm, takeaway.php, 53, 
2014-07-26, 18:51:12, AAA1786, 127.0.0.1, process_order, takeaway.php, 53, 
2014-07-26, 18:51:35, AAA1786, 127.0.0.1, , takeaway.php, 53, 
2014-07-26, 18:51:35, AAA1786, 127.0.0.1, menu, takeaway.php, 53, 
2014-07-26, 18:51:37, AAA1786, 127.0.0.1, add_in_bag, takeaway.php, 53, 
2014-07-26, 18:51:38, AAA1786, 127.0.0.1, menu, takeaway.php, 53, 
2014-07-26, 18:51:39, AAA1786, 127.0.0.1, order_details, takeaway.php, 53, 
2014-07-26, 18:51:45, AAA1786, 127.0.0.1, day_js, takeaway.php, 53, 
2014-07-26, 18:51:46, AAA1786, 127.0.0.1, user_details, takeaway.php, 53, 
2014-07-26, 18:51:49, AAA1786, 127.0.0.1, confirm, takeaway.php, 53, 
2014-07-26, 18:52:29, AAA1786, 127.0.0.1, process_order, takeaway.php, 53, 
2014-07-26, 18:52:31, AAA1786, 127.0.0.1, order_placed, takeaway.php, 53, 
2014-07-26, 18:52:35, AAA1786, 127.0.0.1, menu, takeaway.php, 53, 
2014-07-26, 18:52:38, AAA1786, 127.0.0.1, add_in_bag, takeaway.php, 53, 
2014-07-26, 18:52:38, AAA1786, 127.0.0.1, menu, takeaway.php, 53, 
2014-07-26, 18:52:40, AAA1786, 127.0.0.1, order_details, takeaway.php, 53, 
2014-07-26, 18:52:43, AAA1786, 127.0.0.1, user_details, takeaway.php, 53, 
2014-07-26, 18:52:43, AAA1786, 127.0.0.1, order_details, takeaway.php, 53, 
2014-07-26, 18:52:47, AAA1786, 127.0.0.1, day_js, takeaway.php, 53, 
2014-07-26, 18:52:47, AAA1786, 127.0.0.1, user_details, takeaway.php, 53, 
2014-07-26, 18:53:34, AAA1786, 127.0.0.1, confirm, takeaway.php, 53, 
2014-07-26, 18:54:10, AAA1786, 127.0.0.1, process_order, takeaway.php, 53, 
2014-07-26, 19:03:51, AAA1786, 127.0.0.1, menu, takeaway.php, 53, 
2014-07-26, 19:03:54, AAA1786, 127.0.0.1, add_in_bag, takeaway.php, 53, 
2014-07-26, 19:03:54, AAA1786, 127.0.0.1, menu, takeaway.php, 53, 
2014-07-26, 19:03:56, AAA1786, 127.0.0.1, order_details, takeaway.php, 53, 
2014-07-26, 19:04:00, AAA1786, 127.0.0.1, day_js, takeaway.php, 53, 
